recharge_id,customer_id,recharge_date,amount,payment_mode
R0001,1082,2025-11-07,199,UPI
R0002,1095,2025-11-29,499,Credit Card
R0003,1029,2026-04-29,299,UPI
R0004,1087,2025-08-26,999,UPI
R0005,1076,2026-05-13,699,UPI
R0006,1004,2026-04-19,199,Credit Card
R0007,1030,2026-01-31,999,UPI
R0008,1072,2026-01-11,299,Net Banking
R0009,1029,2026-04-16,699,Debit Card
R0010,1001,2025-12-22,299,Net Banking
R0011,1044,2026-03-14,499,Credit Card
R0012,1028,2025-12-09,499,UPI
R0013,1012,2025-12-24,699,UPI
R0014,1046,2026-03-16,499,Debit Card
R0015,1006,2026-07-10,699,UPI
R0016,1049,2026-06-23,199,Debit Card
R0017,1081,2025-11-19,999,Debit Card
R0018,1074,2026-07-07,299,UPI
R0019,1006,2026-01-16,299,Debit Card
R0020,1011,2026-06-18,299,UPI
R0021,1049,2026-07-03,499,Net Banking
R0022,1082,2025-10-21,499,Credit Card
R0023,1048,2026-06-11,499,Credit Card
R0024,1086,2026-07-31,499,UPI
R0025,1078,2026-05-29,299,Credit Card
R0026,1021,2026-07-09,699,Net Banking
R0027,1035,2026-05-05,999,Credit Card
R0028,1088,2026-05-08,499,UPI
R0029,1030,2026-05-10,199,Debit Card
R0030,1052,2025-11-01,499,UPI
R0031,1028,2025-09-03,999,Debit Card
R0032,1028,2025-12-08,699,Net Banking
R0033,1083,2026-02-16,699,Credit Card
R0034,1034,2026-04-22,299,Credit Card
R0035,1096,2026-01-29,999,Debit Card
R0036,1096,2026-02-28,999,Net Banking
R0037,1075,2025-09-18,699,Debit Card
R0038,1029,2026-05-22,299,Net Banking
R0039,1012,2025-08-13,199,UPI
R0040,1020,2026-06-19,299,Net Banking
R0041,1077,2026-04-09,199,Net Banking
R0042,1049,2026-07-21,999,Net Banking
R0043,1068,2026-06-23,499,UPI
R0044,1088,2026-01-12,199,Debit Card
R0045,1099,2025-08-21,499,UPI
R0046,1038,2026-02-17,699,Credit Card
