usage_id,customer_id,usage_date,data_used_gb,call_minutes,sms_count
U0001,1082,2026-05-26,1.56,389,70
U0002,1032,2025-09-02,2.62,387,26
U0003,1087,2025-09-04,7.54,289,22
U0004,1076,2025-08-29,4.51,25,23
U0005,1028,2026-06-05,2.71,318,6
U0006,1072,2026-05-21,2.39,342,179
U0007,1070,2025-11-10,4.49,239,150
U0008,1036,2026-07-24,8.19,13,194
U0009,1021,2026-04-24,7.13,184,71
U0010,1020,2025-11-28,2.55,400,86
U0011,1014,2025-08-19,1.38,59,91
U0012,1045,2026-07-22,6.24,423,11
U0013,1094,2026-03-22,4.86,73,96
U0014,1011,2025-11-18,5.74,434,160
U0015,1080,2026-03-03,8.91,195,147
U0016,1025,2026-01-09,7.19,33,169
U0017,1030,2026-02-07,7.84,50,59
U0018,1013,2026-03-10,4.11,242,162
U0019,1047,2026-07-20,2.05,191,53
U0020,1086,2025-12-17,3.04,489,174
U0021,1083,2025-08-15,1.18,335,43
U0022,1069,2025-08-30,7.43,93,118
U0023,1049,2025-12-01,3.06,483,163
U0024,1089,2026-07-15,5.79,360,83
U0025,1099,2026-07-07,7.87,127,8
U0026,1041,2025-08-14,4.31,43,54
U0027,1073,2025-11-18,8.83,171,54
U0028,1084,2026-07-22,5.24,462,164
U0029,1059,2026-02-27,1.86,81,63
U0030,1096,2025-11-14,5.83,144,191
U0031,1075,2026-06-18,4.57,308,102
U0032,1047,2026-04-27,2.58,80,130
U0033,1064,2026-03-05,1.36,34,28
U0034,1020,2025-11-29,6.46,415,174
U0035,1055,2026-07-12,6.17,207,97
U0036,1077,2026-04-08,9.96,280,64
U0037,1071,2026-02-21,8.68,15,174
U0038,1093,2025-10-07,1.59,463,137
U0039,1097,2025-10-13,3.03,338,87
U0040,1015,2026-03-31,3.29,90,116
U0041,1001,2026-04-11,9.56,458,184
U0042,1034,2026-06-22,9.73,400,45
U0043,1065,2026-07-18,9.17,455,160
U0044,1039,2026-04-29,8.5,269,155
U0045,1026,2026-02-01,1.95,400,41
U0046,1070,2026-02-13,9.56,482,135
U0047,1001,2026-03-09,6.19,260,4
U0048,1015,2026-03-04,9.33,459,78
U0049,1031,2026-01-23,1.05,459,145
U0050,1011,2026-06-02,1.31,258,17
U0051,1098,2026-06-12,5.56,74,32
U0052,1085,2025-08-20,5.02,291,42
U0053,1034,2026-01-24,5.51,320,108
U0054,1028,2025-08-14,9.32,396,186
U0055,1089,2025-11-19,2.41,169,102
U0056,1086,2025-09-03,6.67,234,132
U0057,1058,2026-03-01,1.65,125,16
U0058,1044,2025-10-27,0.7,293,58
U0059,1076,2025-08-22,2.59,46,181
U0060,1081,2025-12-12,1.06,44,8
U0061,1043,2025-11-03,1.17,131,71
U0062,1086,2025-11-12,5.11,286,33
U0063,1093,2025-10-16,9.39,302,147
U0064,1061,2026-07-27,2.81,252,104
U0065,1025,2025-10-08,1.4,347,110
U0066,1046,2026-07-06,4.52,249,186
U0067,1007,2026-07-01,6.9,340,25
U0068,1008,2026-07-12,4.32,183,27
U0069,1032,2025-08-23,2.32,284,114
U0070,1018,2026-07-06,4.51,152,118
U0071,1032,2026-06-18,8.81,48,113
U0072,1071,2026-07-21,1.43,343,138
U0073,1002,2026-03-28,9.71,484,192
U0074,1031,2026-07-02,2.08,258,123
U0075,1028,2026-03-09,8.71,472,15
U0076,1022,2026-07-22,4.1,209,67
U0077,1059,2025-10-10,3.21,366,187
U0078,1072,2025-10-07,6.79,259,39
U0079,1025,2026-04-26,3.32,39,148
U0080,1095,2026-03-17,5.65,392,80
U0081,1008,2026-05-18,0.98,254,128
U0082,1068,2026-01-29,2.0,270,20
U0083,1024,2025-08-02,1.15,44,172
U0084,1031,2026-01-31,4.34,492,145
U0085,1032,2025-09-04,6.0,30,158
U0086,1011,2026-07-04,4.48,308,144
U0087,1067,2025-08-31,3.51,143,52
U0088,1086,2025-10-26,7.3,132,67
U0089,1051,2025-08-23,1.74,340,76
U0090,1059,2026-02-23,3.5,394,18
U0091,1002,2025-11-30,4.85,298,25
U0092,1010,2026-01-01,5.61,269,67
U0093,1017,2025-08-08,9.37,461,17
U0094,1032,2026-04-14,4.01,90,112
U0095,1070,2026-01-23,7.18,323,167
U0096,1068,2026-03-24,0.57,428,141
U0097,1039,2026-04-21,9.35,63,34
U0098,1034,2025-10-18,1.6,64,190
U0099,1071,2026-04-03,1.98,154,154
U0100,1027,2026-05-15,7.32,114,175
U0101,1082,2026-02-02,8.6,268,125
U0102,1033,2025-10-21,9.1,443,13
U0103,1012,2026-07-12,6.53,434,70
U0104,1006,2026-05-21,0.53,404,33
U0105,1082,2025-09-26,9.81,92,189
U0106,1057,2025-08-06,5.74,228,143
U0107,1002,2026-05-16,1.56,493,176
U0108,1020,2025-12-15,5.68,437,94
U0109,1075,2026-02-04,5.75,230,32
U0110,1006,2026-01-15,3.43,470,10
U0111,1046,2026-06-25,2.5,137,170
U0112,1014,2026-02-24,3.86,296,104
U0113,1080,2026-03-29,7.62,483,60
U0114,1021,2025-11-17,9.77,425,45
U0115,1053,2025-09-16,0.74,387,85
U0116,1053,2026-04-19,8.12,452,188
U0117,1032,2026-02-17,3.03,413,179
U0118,1014,2026-07-30,4.13,29,120
U0119,1029,2026-04-01,2.4,480,117
